  01/01/1877,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  01/01/1877,     27 48,    128 33,        NA,        NA,                       NA,                       NA,,,
  02/01/1877,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  02/01/1877,     26 33,    129 07,        NA,        NA,                       NA,                       NA,,,
  03/01/1877,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  03/01/1877,     24 45,    130 59,        NA,        NA,                       NA,                       NA,,,
  04/01/1877,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  04/01/1877,   23 23 N,  133 18 W,        NA,        NA,                       NA,                       NA,,,
  05/01/1877,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  05/01/1877,     22 30,    135 25,        NA,        NA,                       NA,                       NA,,,
  06/01/1877,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  06/01/1877,     22 02,    137 27,        NA,        NA,                       NA,                       NA,,,
  07/01/1877,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  07/01/1877,   21 54 N,     21 54,        NA,        NA,                       NA,                       NA,,,
  08/01/1877,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  08/01/1877,     21 46,    140 42,        NA,        NA,                       NA,                       NA,,,
  09/01/1877,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  09/01/1877,     21 41,    142 27,        NA,        NA,                       NA,                       NA,,,
  10/01/1877,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  10/01/1877,     21 45,    144 12,        NA,        NA,                       NA,                       NA,,,
  11/01/1877,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  11/01/1877,   21 44 N,    146 29,        NA,        NA,                       NA,                       NA,,,
  12/01/1877,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  12/01/1877,   22 53 N,  149 11 W,        NA,        NA,                       NA,                       NA,,,
  13/01/1877,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  13/01/1877,   23 59 N,  149 45 W,        NA,        NA,                       NA,                       NA,,,
  14/01/1877,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  14/01/1877,     24 09,    150 08,        NA,        NA,                       NA,                       NA,,,
  15/01/1877,     15 01,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  15/01/1877,   22 20 N,  152 47 W,        NA,        NA,                       NA,                       NA,,,
  16/01/1877,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  16/01/1877,   21 14 N,  155 05 W,        NA,        NA,                       NA,                       NA,,,
  17/01/1877,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  17/01/1877,     21 10,  156 32 W,        NA,        NA,                       NA,                       NA,,,
  18/01/1877,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  18/01/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  19/01/1877,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,oahu,21 28N,157 59W
  19/01/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  20/01/1877,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,oahu,,
  20/01/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  21/01/1877,        NA,        NA,56.2,-3,     at sea north pacific,                    forth,oahu,,
  21/01/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  22/01/1877,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,,,
  22/01/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  23/01/1877,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,,,
  23/01/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  24/01/1877,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,,,
  24/01/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  25/01/1877,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,,,
  25/01/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  26/01/1877,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,,,
  26/01/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  27/01/1877,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,,,
  27/01/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/01/1877,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,,,
  28/01/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  29/01/1877,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,,,
  29/01/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  30/01/1877,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,,,
  30/01/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  31/01/1877,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,,,
  31/01/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/02/1877,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,,,
  01/02/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  02/02/1877,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,,,
  02/02/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  03/02/1877,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,,,
  03/02/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  04/02/1877,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,,,
  04/02/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  05/02/1877,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,,,
  05/02/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  06/02/1877,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,,,
  06/02/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  07/02/1877,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,,,
  07/02/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  08/02/1877,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,,,
  08/02/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  09/02/1877,        NA,        NA,21.3,-157.9,              honolulu hi,                 honolulu,,,
  09/02/1877,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
